x_1,x_2,u_pred
0.000000000000000000e+00,1.334141414141415183e+00,1.742839813232421875e-04
0.000000000000000000e+00,1.231515151515152340e+00,2.291202545166015625e-04
0.000000000000000000e+00,1.128888888888889497e+00,2.774000167846679688e-04
0.000000000000000000e+00,1.026262626262626654e+00,3.166198730468750000e-04
0.000000000000000000e+00,9.236363636363638108e-01,3.429055213928222656e-04
0.000000000000000000e+00,8.210101010101009678e-01,3.522634506225585938e-04
0.000000000000000000e+00,7.183838383838399011e-01,3.401637077331542969e-04
0.000000000000000000e+00,6.157575757575770581e-01,3.030896186828613281e-04
0.000000000000000000e+00,5.131313131313142151e-01,2.351403236389160156e-04
0.000000000000000000e+00,4.105050505050513721e-01,1.316070556640625000e-04
0.000000000000000000e+00,3.078787878787885290e-01,-1.215934753417968750e-05
0.000000000000000000e+00,2.052525252525256860e-01,-2.026557922363281250e-04
0.000000000000000000e+00,1.026262626262628430e-01,-4.442334175109863281e-04
0.000000000000000000e+00,0.000000000000000000e+00,-7.440447807312011719e-04
2.309090909090908972e-01,1.016000000000000014e+01,-5.531311035156250000e-05
2.309090909090908972e-01,1.005737373737373730e+01,1.055717468261718750e-03
2.309090909090908972e-01,9.954747474747474456e+00,2.123355865478515625e-03
2.309090909090908972e-01,9.852121212121211613e+00,3.155946731567382812e-03
2.309090909090908972e-01,9.749494949494948770e+00,4.160404205322265625e-03
2.309090909090908972e-01,9.646868686868687703e+00,5.140542984008789062e-03
2.309090909090908972e-01,9.544242424242424860e+00,6.102800369262695312e-03
2.309090909090908972e-01,9.441616161616162017e+00,7.049441337585449219e-03
2.309090909090908972e-01,9.338989898989899174e+00,7.983803749084472656e-03
2.309090909090908972e-01,9.236363636363636331e+00,8.908867835998535156e-03
2.309090909090908972e-01,9.133737373737373488e+00,9.826302528381347656e-03
2.309090909090908972e-01,9.031111111111110645e+00,1.073598861694335938e-02
2.309090909090908972e-01,8.928484848484849579e+00,1.163935661315917969e-02
2.309090909090908972e-01,8.825858585858586736e+00,1.253521442413330078e-02
2.309090909090908972e-01,8.723232323232323893e+00,1.342463493347167969e-02
2.309090909090908972e-01,8.620606060606061050e+00,1.430511474609375000e-02
