x_1,x_2,u_true
0.000000000000000000e+00,6.568080808080808630e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.465454545454545787e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.362828282828282944e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.260202020202020989e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.157575757575758146e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.054949494949495303e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.952323232323232460e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.849696969696969617e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.747070707070707662e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.644444444444444819e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.541818181818181976e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.439191919191920022e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.336565656565657179e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.233939393939394336e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.131313131313131493e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.028686868686868650e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.926060606060606695e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.823434343434343852e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.720808080808081009e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.618181818181819054e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.515555555555556211e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.412929292929293368e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.310303030303030525e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.207676767676767682e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.105050505050505727e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.002424242424242884e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.899797979797980041e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.797171717171718086e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.694545454545455243e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.591919191919192400e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.489292929292929557e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.386666666666666714e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.284040404040404759e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.181414141414141916e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.078787878787879073e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.976161616161617118e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.873535353535354275e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.770909090909091432e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.668282828282828589e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.565656565656565746e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.463030303030303791e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.360404040404040948e+00,0.000000000000000000e+00
